[25/Jan/14, 03:02:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.8, humidity: 65
[25/Jan/14, 03:03:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.8, humidity: 65
[25/Jan/14, 03:04:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.8, humidity: 65
[25/Jan/14, 03:05:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.8, humidity: 65
[25/Jan/14, 03:08:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.8, humidity: 65
[25/Jan/14, 03:12:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.8, humidity: 65
[25/Jan/14, 03:12:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.8, humidity: 65
[25/Jan/14, 03:13:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.8, humidity: 65
[25/Jan/14, 03:14:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.8, humidity: 65
[25/Jan/14, 03:17:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.8, humidity: 65
[25/Jan/14, 03:18:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:19:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:22:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:22:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:23:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:25:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:27:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:28:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.8, humidity: 65
[25/Jan/14, 03:29:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:30:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:32:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:34:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:35:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.8, humidity: 65
[25/Jan/14, 03:35:56] (LamPI-daemon) address: 1, channel: 0, temperature: 3.8, humidity: 65
[25/Jan/14, 03:37:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.8, humidity: 65
[25/Jan/14, 03:39:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:43:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:44:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:46:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:47:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:48:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:49:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.6, humidity: 65
[25/Jan/14, 03:50:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.6, humidity: 65
[25/Jan/14, 03:51:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:53:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.7, humidity: 65
[25/Jan/14, 03:57:55] (LamPI-daemon) address: 1, channel: 0, temperature: 3.6, humidity: 65
